chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.240277778,-0.486666667,1,0,0,LeftButton,"[""LeftButton""]",,,,3.027777778,2.9,space,2.259,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.247222222,-0.517777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,72.44668911,3.608,space,55.19079686,8.058,0,6,6,6,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,2.035,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313888889,-0.535555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,96,4.614,space,67,12.465,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,5.17,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.276388889,-0.457777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,100,4.23,space,78,2.367,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,0.834,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,0.322222222,-0.522222222,1,0,0,RightButton,"[""RightButton""]",,,,3.458333333,8.683,space,6.084,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.244444444,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.52300786,4.862,space,6.930415264,6.195,0,10,10,10,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,0.522,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25,-0.493333333,1,0,0,LeftButton,"[""LeftButton""]",80,6.503,space,,,,,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,3.685,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.336111111,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",91,2.015,space,,,,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,0.384,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Greater,Smaller,,0.302777778,-0.537777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,90,2.911,space,80,6.828,,,,,,0,13,13,13,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,1.566,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3rOQiJSaYzSrL8h,1,2024-05-31_12h27.58.002,interaction task,2021.2.3,MacIntel,58.82352941,120417,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.323611111,-0.528888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,6.366,space,50,7.634,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,0.617,,,,,,,
