chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.234260615,-0.504907306,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,4,4,4,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.32942899,-0.496183206,0,0,0,,[],,,,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,172,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.275256223,-0.465648855,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,1.706,space,0,3.316,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,1.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.266471449,-0.513631407,1,0,0,RightButton,"[""RightButton""]",,,,3.049048316,11.966,space,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,,1.568,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.32942899,-0.520174482,1,0,0,RightButton,"[""RightButton""]",,,,2.097364568,3.034,space,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,,1.461,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.213762811,-0.533260632,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0.012570803,2.629,space,0,5.655,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,2.585,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29136164,-0.535441658,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,3.817,space,0,5.177,,,,,,0,10,10,10,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,0.878,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301610542,-0.502726281,1,0,0,RightButton,"[""RightButton""]",0,3.603,space,,,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,,,0.959,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29136164,-0.507088332,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,0,2.079,space,0,3.388,0,12,12,12,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,0.734,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.254758419,-0.494002181,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0,3.597,space,0,5.232,0,13,13,13,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,1.311,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.300146413,-0.522355507,1,0,0,RightButton,"[""RightButton""]",,,,2.975841874,1.8,space,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,,,0.653,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,0.306002928,-0.491821156,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,3.942,space,0,6.186,,,,,,0,15,15,15,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.968,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.263543192,-0.504907306,1,0,0,LeftButton,"[""LeftButton""]",,,,2.038799414,4.995,space,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,,0.691,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3DwBYBdZzedqc9v,1,2024-05-24_12h36.42.981,interaction task,2021.2.3,MacIntel,55.55555556,120535,,,,,,,,,,,,,,,,,Smaller,Greater,,0.241581259,-0.507088332,1,0,0,RightButton,"[""RightButton""]",0,4.439,space,,,,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,,,2.119,,,,,
