chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trialseq.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.265988498,-0.51203125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,1,RandomDot35.png,No answer,21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.286528863,-0.523810764,1,0,0,LeftButton,"[""LeftButton""]",,,,3.017225477,9.5856,space,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,3.7469,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.278602431,-0.525017361,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,60.56737076,5.1036,space,59.64944585,9.2877,0,4,4,4,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,1.2016,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29632704,-0.479340278,1,0,0,RightButton,"[""RightButton""]",21,4.9579,space,,,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,1.1217,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291438802,-0.526588542,1,0,0,LeftButton,"[""LeftButton""]",40,2.1854,space,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,1.8877,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.326475694,-0.49890625,1,0,0,RightButton,"[""RightButton""]",,,,4.046576606,5.8237,space,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,2.1917,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.240147569,-0.475138889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,60.25993441,5.0694,space,39.6852641,8.7398,0,8,8,8,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,0.8855,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.317399089,-0.476883681,1,0,0,RightButton,"[""RightButton""]",,,,4.017442491,8.0654,space,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,1.7192,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.307047526,-0.510789931,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,59.5518992,3.7598,space,49.75174926,5.9324,0,10,10,10,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,0.8336,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5xTgfhZQPc6lLs5,1,2024-05-23_14h19.40.550,interaction task,2021.2.3,MacIntel,60.24096386,120831,,,,,,,,,,,,,,,,,Smaller,Greater,,0.28351237,-0.482439236,1,0,0,RightButton,"[""RightButton""]",,,,,,,39,5.2387,space,72,11.0642,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,,2.7092,,
