chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.313384332,-0.482248264,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,97.90033582,3.7228,space,2.048698793,6.6748,0,5,5,5,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,0.9672
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.321717665,-0.518116319,1,0,0,RightButton,"[""RightButton""]",,,,,2.544108073,4.4651,space,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,0.7028,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.311686198,-0.519921875,1,0,0,RightButton,"[""RightButton""]",4,2.5313,space,0.6846,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.276605903,-0.499887153,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,97.77648446,2.9818,space,4.861659126,6.3312,0,8,8,8,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,1.8893
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.331293403,-0.512421875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,2,RandomDot29.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.260791016,-0.494739583,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.689887153,4.8454,space,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,1.4367,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.315825738,-0.501319444,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.693115234,2.267,space,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,0.7674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.299213325,-0.490138889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,96.7127876,5.0986,space,2.466286125,6.5471,0,12,12,12,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,1.1009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,0.296142578,-0.519565972,1,0,0,RightButton,"[""RightButton""]",,,,,,,,10,5.9995,space,1,8.067,,,,,,0,13,13,13,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,1.0514,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.255192057,-0.524322917,1,0,0,LeftButton,"[""LeftButton""]",11,2.8631,space,0.7192,,,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.281906467,-0.520659722,1,0,0,RightButton,"[""RightButton""]",,,,,,,,89,2.0817,space,2,3.3984,,,,,,0,15,15,15,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,0.5507,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.271706814,-0.519696181,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.566514757,1.5832,space,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,0.5504,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.275368924,-0.496119792,1,0,0,LeftButton,"[""LeftButton""]",20,2.9594,space,0.5137,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.327208116,-0.529947917,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.289903429,-0.499487847,1,0,0,RightButton,"[""RightButton""]",,,,,,,,14,4.133,space,5,6.1655,,,,,,0,19,19,19,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,0.9804,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.290380859,-0.532256944,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,20,20,20,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.291075304,-0.531145833,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.285731337,-0.523116319,1,0,0,RightButton,"[""RightButton""]",,,,,2.511094835,2.7998,space,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.6184,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.270952691,-0.496024306,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,91.54939148,4.0642,space,9.114802539,5.3131,0,23,23,23,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,1.1723
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.318250868,-0.518394097,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.306445313,-0.503671875,1,0,0,RightButton,"[""RightButton""]",,,,,2.584960938,1.9672,space,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,0.4625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,0.295100911,-0.53046875,1,0,0,RightButton,"[""RightButton""]",19,3.1856,space,0.6021,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Greater,Smaller,,,0.317225477,-0.507690972,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,88.04812447,3.4582,space,16.28174102,5.4792,0,27,27,27,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,0.8173
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5BbMyj9NaP7q9xv,1,2024-05-30_17h30.53.338,interaction task,2021.2.3,MacIntel,59.88023952,120749,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.30272895,-0.495260417,1,0,0,LeftButton,"[""LeftButton""]",11,2.934,space,1.6171,,,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,
