chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.292936769,-0.520981934,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,3,RandomDot11.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.231272844,-0.509661483,1,0,0,RightButton,"[""RightButton""]",,,,,,,,61,4.6144,space,81,7.7187,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,0.705,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.224364949,-0.517547065,1,0,0,LeftButton,"[""LeftButton""]",,,,,0.988852339,12.255,space,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,3.2339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301927997,-0.508411775,1,0,0,RightButton,"[""RightButton""]",,,,,1.015533626,5.9873,space,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,0.8003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.323382675,-0.529232928,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.265666118,-0.538353601,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,41,7.0658,space,70,4.9251,,,,,,0,9,9,9,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,3.1518,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.321984649,-0.499707671,1,0,0,RightButton,"[""RightButton""]",,,,,0.984649123,2.6893,space,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,1.4626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.31871345,-0.508448316,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,99.64668616,4.3765,space,0,9.8738,0,11,11,11,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,0.8568,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.252087902,-0.516465447,1,0,0,LeftButton,"[""LeftButton""]",51,4.9746,space,0.7626,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3c8LrmXWaYdFGlX,1,2024-05-27_22h46.06.265,interaction task,2021.2.3,MacIntel,58.82352941,120559,,,,,,,,,,,,,,,,,Smaller,Greater,,0.219978984,-0.51455069,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,48.62754002,5.822,space,68.75479946,9.2118,0,13,13,13,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,0.5642,
