chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.330508475,-0.492286115,1,0,0,LeftButton,"[""LeftButton""]",59,5.095,space,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,3.241,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.362711864,-0.517531557,1,0,0,LeftButton,"[""LeftButton""]",,,,4.847457627,12.539,space,,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,2.401,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,0.323728814,-0.47826087,1,0,0,RightButton,"[""RightButton""]",,,,4.923728814,2.243,space,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,1.726,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.281355932,-0.514726508,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,3,RandomDot26.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,0.26779661,-0.489481066,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,78.07738401,4.535,space,2.098,50.34240712,8.561,0,10,10,10,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.266101695,-0.528751753,1,0,0,LeftButton,"[""LeftButton""]",,,,4.93220339,2.085,space,,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,0.867,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.274576271,-0.517531557,1,0,0,LeftButton,"[""LeftButton""]",62,4.245,space,,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,2.556,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.293220339,-0.47826087,1,0,0,LeftButton,"[""LeftButton""]",,,,4.898305085,4.398,space,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,1.117,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Greater,Smaller,,,0.23220339,-0.495091164,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,62.49785996,3.292,space,1.685,48.97277863,6.392,0,14,14,14,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JeBbwgNmS1aKcb,1,2024-05-29_12h25.43.107,interaction task,2021.2.3,MacIntel,30.3030303,120853,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.345762712,-0.469845722,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,52,7.317,space,11,13.741,,,,,,,0,15,15,15,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,2.716
