chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.288435374,-0.517391304,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.303401361,-0.519565217,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,4,2.946,space,0.895,2,1.951,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.280272109,-0.493478261,1,0,0,LeftButton,"[""LeftButton""]",5,1.721,space,,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,0.488,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.314285714,-0.473913043,1,0,0,LeftButton,"[""LeftButton""]",5,2.529,space,,,,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,0.443,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,0.247619048,-0.543478261,1,0,0,RightButton,"[""RightButton""]",,,,,,,4,1.75,space,0.265,2,2.748,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.387755102,-0.510869565,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,2.449666735,1.732,space,2.587095444,2.948,0,10,10,10,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,0.534,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259863946,-0.534782609,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,95.76376005,7.661,space,1.350237065,3.458,0,11,11,11,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,5.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,0.300680272,-0.52173913,1,0,0,RightButton,"[""RightButton""]",,,,,,,2,4.278,space,0.896,5,7.247,,,,,,0,12,12,12,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302040816,-0.473913043,1,0,0,LeftButton,"[""LeftButton""]",,,,2.921768707,1.942,space,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,1.01,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.289795918,-0.523913043,1,0,0,LeftButton,"[""LeftButton""]",0,2.266,space,,,,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,0.255,,,,,,
