chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.233312075,-0.506377378,1,0,0,RightButton,"[""RightButton""]",,,,1.986766582,6.7771,space,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,1.0491,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.236468963,-0.499286685,1,0,0,LeftButton,"[""LeftButton""]",,,,2.021975978,7.133,space,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,0.4342,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.313887117,-0.526409647,1,0,0,RightButton,"[""RightButton""]",,,,,,,78,3.4304,space,69,4.4664,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,0.6174,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.236872874,-0.511226223,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.236872874,-0.511226223,1,0,0,LeftButton,"[""LeftButton""]",,,,3.023278061,4.2175,space,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,0.319,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.292182185,-0.488034986,1,0,0,RightButton,"[""RightButton""]",,,,,,,85,4.1753,space,66,6.8526,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,0.6336,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.303300383,-0.516015625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,79.73237906,5.5642,space,77.54533,8.1383,0,10,10,10,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,,0.3178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.284327168,-0.52835428,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,78.84016612,3.2226,space,69.07682265,4.1568,0,11,11,11,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,,,0.1668
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,0.244972364,-0.524796196,1,0,0,RightButton,"[""RightButton""]",,,,,,,81,5.2846,space,76,6.1591,,,,,,0,12,12,12,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,0.2398,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.279921344,-0.506351902,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,2.8952,space,65,3.9901,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,0.1504,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.25440051,-0.539563519,1,0,0,LeftButton,"[""LeftButton""]",80,3.1151,space,,,,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,0.885,,,
