chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.323464627,-0.490946181,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,1,RandomDot36.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.351432292,-0.543628472,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.59534582,4.1259,space,0.822789527,5.6009,0,5,5,5,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,1.5618,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.37523329,-0.497890625,1,0,0,LeftButton,"[""LeftButton""]",0,3.0789,space,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,1.347,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3066352,-0.522178819,1,0,0,RightButton,"[""RightButton""]",0,3.2684,space,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,0.8845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.280707465,-0.510659722,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,89.93439166,4.1688,space,9.849690481,8.1237,0,8,8,8,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,0.6042,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.298855252,-0.542881944,1,0,0,RightButton,"[""RightButton""]",,,,4.032986111,14.2507,space,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,,1.5665
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.290402561,-0.496432292,1,0,0,RightButton,"[""RightButton""]",0,3.2279,space,,,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,0.4515,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.306542969,-0.541493056,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,5.4517,space,91,12.8105,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,1.0357,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.277121311,-0.526076389,1,0,0,LeftButton,"[""LeftButton""]",0,2.7943,space,,,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,0.3229,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2Pz1ESHNLhmVqlq,1,2024-04-28_15h52.02.722,interaction task,2021.2.3,MacIntel,60.24096386,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.290587023,-0.499461806,1,0,0,RightButton,"[""RightButton""]",0,3.1999,space,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,0.7178,
