chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.282993197,-0.532608696,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,29.7979798,2.746,space,71.16402116,4.32,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,1.038,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.236734694,-0.497826087,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.982993197,6.17,space,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,1.001,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.380952381,-0.545652174,1,0,0,LeftButton,"[""LeftButton""]",90,2.705,space,0.934,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.274829932,-0.495652174,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,14.68082182,4.135,space,91.36604137,6.067,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,0.67,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.257142857,-0.5,1,0,0,LeftButton,"[""LeftButton""]",91,2.637,space,0.576,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,0.253061224,-0.534782609,1,0,0,RightButton,"[""RightButton""]",,,,,,,,98,3.548,space,41,7.449,,,,,,0,10,10,10,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.250340136,-0.517391304,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.057823129,4.535,space,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,0.901,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.273469388,-0.513043478,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,96,3.406,space,64,5.466,,,,,,0,12,12,12,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,0.993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.282993197,-0.536956522,1,0,0,RightButton,"[""RightButton""]",60,2.977,space,0.702,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.266666667,-0.534782609,1,0,0,RightButton,"[""RightButton""]",,,,,,,,95,2.815,space,81,4.251,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,0.772
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.266666667,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,92,3.651,space,40,4.761,,,,,,0,15,15,15,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,0.904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KryIkmTCOb6eUU,1,2024-05-06_19h55.36.757,interaction task,2021.2.3,MacIntel,62.5,120811,,,,,,,,,,,,,,,,Smaller,Greater,,,0.292517007,-0.534782609,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
