chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.22687717,-0.500451389,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,68,3.9751,space,1.5074,72,5.3201,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.274902344,-0.518472222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.242768012,-0.525685764,1,0,0,LeftButton,"[""LeftButton""]",,,,2.9972602,1.3335,space,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,1.3655,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.329844835,-0.507690972,1,0,0,RightButton,"[""RightButton""]",,,,2.98819987,1.2696,space,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,1.4629,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.21117079,-0.54296875,1,0,0,RightButton,"[""RightButton""]",60,2.9424,space,,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,2.4619,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.22515191,-0.521614583,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,49.48925014,2.2202,space,51.95148096,3.2297,0,7,7,7,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,0.8165,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.259450955,-0.513203125,1,0,0,RightButton,"[""RightButton""]",,,,3.035373264,1.8799,space,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,0.9462,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.3175727,-0.491215278,1,0,0,LeftButton,"[""LeftButton""]",61,2.205,space,,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,1.1172,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.361208767,-0.541892361,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,69.04077669,1.8648,space,69.90828423,2.683,0,10,10,10,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,0.9017,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lh2G802tSwgxMU,1,2024-04-19_15h21.29.995,interaction task,2021.2.3,MacIntel,59.88023952,120217,,,,,,,,,,,,,,,,Smaller,Greater,,,0.267013889,-0.537421875,1,0,0,RightButton,"[""RightButton""]",68,1.0553,space,,,,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,1.0523,,,,,,,
