chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,0.253602431,-0.520486111,1,0,0,RightButton,"[""RightButton""]",,,,,,,41,6.5499,space,0,7.9041,,,,,,0,5,5,5,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,0.8364,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.251671007,-0.482586806,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.23036792,3.6054,space,21.25333193,7.1767,0,6,6,6,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,,0.7926
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272439236,-0.53578125,1,0,0,RightButton,"[""RightButton""]",60,3.9744,space,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,1.7764,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,0.285221354,-0.520920139,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,8,8,8,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.246999783,-0.461597222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,10,4.4477,space,0,6.7124,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,,1.4235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.307172309,-0.520217014,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,2.6056,space,0.291763117,5.4335,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,,0.7902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.381662326,-0.480052083,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,99,3.5803,space,2,6.8765,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,3.1088,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,0.28289388,-0.514123264,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,12,12,12,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.352435981,-0.502595486,1,0,0,LeftButton,"[""LeftButton""]",0,2.775,space,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,0.9741,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5WYyGOzXtwowWQ4,1,2024-05-28_19h41.01.166,interaction task,2021.2.3,MacIntel,63.69426752,120836,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.279969618,-0.523142361,1,0,0,LeftButton,"[""LeftButton""]",,,,4.972710503,8.2551,space,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,0.8549,,
