chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.241666635,-0.484999975,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,6.4133,space,100,10.9873,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,1.1252,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.253124952,-0.50333341,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0.021043771,5.3043,space,90.08839026,8.7709,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,,1.529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.289583365,-0.498333359,1,0,0,RightButton,"[""RightButton""]",,,,0.005208453,5.5856,space,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,0.896,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.233333349,-0.480000051,1,0,0,LeftButton,"[""LeftButton""]",30,2.6444,space,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,1.0899,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293750048,-0.47833341,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,10.12205628,6.702,space,91.45623859,10.768,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,,0.9323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.311458349,-0.495000076,1,0,0,RightButton,"[""RightButton""]",0,4.7306,space,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,1.3241,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.256249984,-0.475,1,0,0,LeftButton,"[""LeftButton""]",30,3.7613,space,,,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,0.8551,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.307291667,-0.481666692,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,50.42087703,5.0712,space,9.806396504,10.147,0,11,11,11,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,,2.4613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.271874984,-0.475,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,18.32912618,13.5845,space,88.82576721,11.6224,0,12,12,12,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,,3.2628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,0.260416667,-0.530000051,1,0,0,RightButton,"[""RightButton""]",,,,0.005208453,3.3164,space,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,2.3433,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.277083317,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,69.99158249,6.3537,space,9.280302228,10.1069,0,14,14,14,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,,2.3731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.289583286,-0.513333384,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,3.3382,space,100,8.9327,,,,,,0,15,15,15,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,2.1752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297916651,-0.509999975,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,0.275000016,-0.520000076,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,100,7.2496,space,0.126265035,9.7515,0,17,17,17,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,,1.4519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,0.258333365,-0.506666692,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,5.4518,space,100,9.3361,,,,,,0,18,18,18,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,0.7479,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.257291635,-0.475,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,70.20202502,6.7179,space,29.48232323,10.6283,0,19,19,19,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,,0.7288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_59nXN3KJnjYkf8b,1,2024-05-10_20h16.25.288,interaction task,2021.2.3,Win32,60.24096386,121562,,,,,,,,,,,,,,,,,Greater,Smaller,,0.303124984,-0.511666743,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,3.474,space,100,6.5649,,,,,,0,20,20,20,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,1.0029,
