chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.254442587,-0.497032216,1,0,0,RightButton,"[""RightButton""]",1,2.1711,space,1.1364,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301308434,-0.53202132,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,79.38403456,3.9847,space,19.74824116,5.1617,0,7,7,7,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,0.6007,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.331380566,-0.484536082,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,49,3.1178,space,30,7.4327,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,0.695,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.253270798,-0.478288073,1,0,0,LeftButton,"[""LeftButton""]",4,2.8849,space,0.6855,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.286467487,-0.492033739,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.255223637,-0.530771672,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265377856,-0.507029053,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,79.93622747,4.0617,space,2.709443047,6.0607,0,12,12,12,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,0.7508,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.310681603,-0.499531396,1,0,0,RightButton,"[""RightButton""]",0,2.0373,space,0.8868,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.335286029,-0.502030692,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.965833851,2.3911,space,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,0.8337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.264596806,-0.500781044,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,3.2344,space,10,6.0708,,,,,,0,15,15,15,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,0.702,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.252099295,-0.490784206,1,0,0,RightButton,"[""RightButton""]",,,,,,,,50,3.0259,space,10,4.6562,,,,,,0,16,16,16,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,1.7016,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.281780902,-0.503280225,1,0,0,RightButton,"[""RightButton""]",,,,,4.985356997,2.6093,space,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,0.4652
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.29466901,-0.473289597,1,0,0,LeftButton,"[""LeftButton""]",29,2.7413,space,0.5022,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.257566929,-0.493283387,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.300136644,-0.510777882,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,20,2.6783,space,1,4.322,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.505,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.321226275,-0.520774834,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,49,2.6709,space,11,3.8062,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,0.3221,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.315368188,-0.529522024,1,0,0,RightButton,"[""RightButton""]",,,,,4.985356997,3.1878,space,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,0.436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.250927506,-0.519525187,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,1.8592,space,0,3.1542,,,,,,0,23,23,23,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,0.5698,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.332552284,-0.5345205,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.21694991,-0.477038425,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,89.40222642,2.6876,space,3.261628726,3.7818,0,25,25,25,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,0.3412,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.280609256,-0.508278701,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.977548024,1.7169,space,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,0.3535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.290373022,-0.498281863,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,99.34152532,3.6355,space,2.788328779,4.6225,0,27,27,27,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,0.3358,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.279047013,-0.519525187,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,95.31847576,1.8498,space,0.185179067,2.903,0,28,28,28,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,0.3399,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.329037274,-0.494533035,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,2.3878,space,0,4.1033,,,,,,0,29,29,29,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,0.2551,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.231009664,-0.510777882,1,0,0,RightButton,"[""RightButton""]",,,,,4.981452511,1.6883,space,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,0.2853
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.234524459,-0.507029053,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.989262198,1.707,space,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,0.4678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.328256152,-0.522024367,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,98.31603247,3.3631,space,10.99219213,5.5221,0,32,32,32,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,0.168,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.27943761,-0.524523663,1,0,0,RightButton,"[""RightButton""]",0,1.6029,space,0.4166,,,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.257566929,-0.509528349,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.315758641,-0.520774834,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,80.7250559,3.6524,space,10.67666365,4.7548,0,35,35,35,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,0.2053,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265377856,-0.51452671,1,0,0,RightButton,"[""RightButton""]",,,,,2.537094693,3.9729,space,,,,,,,,,,,0,36,36,36,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,1.4997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.289591972,-0.50577952,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,37,37,37,1,0,both_right.png,1,RandomDot29.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.321616872,-0.459543931,1,0,0,RightButton,"[""RightButton""]",1,1.9805,space,0.2385,,,,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277094318,-0.500781044,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,98.94710388,2.2891,space,1.368428936,3.4334,0,39,39,39,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,0.2208,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.261472464,-0.480787254,1,0,0,RightButton,"[""RightButton""]",40,2.5908,space,0.4226,,,,,,,,,,,,,,0,40,40,40,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1g31aXiXPgtLRgR,1,2024-04-20_16h41.54.284,interaction task,2021.2.3,Win32,60.60606061,120256,,,,,,,,,,,,,,,,,Smaller,Greater,,0.285686437,-0.492033739,1,0,0,RightButton,"[""RightButton""]",,,,,,,,50,2.4692,space,19,3.8729,,,,,,0,41,41,41,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,0.4306,,
