chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.330893119,-0.489583333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,76.17684902,3.8918,space,0.5544,23.67525918,5.1936,0,5,5,5,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.307467057,-0.5234375,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,43.6406525,1.9718,space,0.7033,45.41535413,3.6564,0,6,6,6,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,0.263543192,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,1.043191801,4.4859,space,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,0.7491,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.250366032,-0.481770833,1,0,0,LeftButton,"[""LeftButton""]",,,,1.174963397,2.2585,space,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,0.6708,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,0.282576867,-0.484375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,34.02768535,1.6001,space,0.7359,50.88735081,2.6758,0,9,9,9,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.286969253,-0.528645833,1,0,0,LeftButton,"[""LeftButton""]",,,,3.078330893,2.1786,space,,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,0.8339,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,0.295754026,-0.463541667,1,0,0,RightButton,"[""RightButton""]",,,,,,,51,4.0253,space,52,5.8095,,,,,,,0,11,11,11,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,0.9146,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,0.266471449,-0.528645833,1,0,0,RightButton,"[""RightButton""]",,,,,,,35,2.0646,space,29,3.5976,,,,,,,0,12,12,12,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,0.5403,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.272327965,-0.518229167,1,0,0,LeftButton,"[""LeftButton""]",,,,4.908491947,4.1917,space,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,0.7101,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.276720351,-0.494791667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,56,4.1142,space,50,5.4939,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,0.4035,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1hbYZAAG1H7UZQE,1,2024-04-09_19h28.57.768,interaction task,2021.2.3,Win32,60.24096386,120627,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.229868228,-0.526041667,1,0,0,LeftButton,"[""LeftButton""]",,,,4.967057101,4.3449,space,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,1.1857,,,,,,,
