chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.326041667,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,0,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.260416667,-0.544444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,55.78703704,5.7403,space,0.5041,53.26178451,8.452,0,7,7,7,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.3,-0.494444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.246875,-0.472222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,3.5224,space,64,9.1529,,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,2.2144,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,0.19375,-0.477777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.332291667,-0.498148148,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,64.62542088,2.7836,space,2.2442,34.21717172,5.8229,0,11,11,11,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24375,-0.516666667,1,0,0,RightButton,"[""RightButton""]",,,,4.489583333,12.9659,space,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,3.3403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313541667,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",78,4.2864,space,,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,1.1447,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,0.375,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,89,2.5949,space,34,7.2755,,,,,,,0,14,14,14,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,5.5897,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24375,-0.535185185,1,0,0,RightButton,"[""RightButton""]",,,,5,11.0272,space,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,1.4695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.282291667,-0.524074074,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,3.2176,space,31,6.963,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,2.1649,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.28125,-0.492592593,1,0,0,RightButton,"[""RightButton""]",74,3.4459,space,,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,2.0187,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.216666667,-0.52962963,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,61.15319865,3.5853,space,2.0096,62.41582492,6.8109,0,18,18,18,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.333333333,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,73,4.0738,space,44,8.3604,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,1.097,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.184375,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",91,2.2278,space,,,,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,1.0527,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.310416667,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,76.72558923,3.4092,space,0.5249,31.37626263,5.4387,0,21,21,21,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275,-0.490740741,1,0,0,LeftButton,"[""LeftButton""]",,,,5,11.4592,space,,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,,5.2503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.251041667,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989583333,6.661,space,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,3.7024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.223958333,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,55,2.6506,space,54,3.4789,,,,,,,0,24,24,24,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,0.9219,,
