chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.318055556,-0.484444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,1,RandomDot30.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.326388889,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,97.41863075,2.32,space,20.11784512,4.319,0,4,4,4,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,1.318,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.280555556,-0.511111111,1,0,0,LeftButton,"[""LeftButton""]",20,3.445,space,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,0.73,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,,0.311111111,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,6.194,space,58,10.118,,,,,,0,6,6,6,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,,1.303,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.280555556,-0.504444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,2,2.146,space,67,5.29,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,1.35,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,0.298611111,-0.497777778,1,0,0,RightButton,"[""RightButton""]",0,2.595,space,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,0.87,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,0.269444444,-0.493333333,1,0,0,RightButton,"[""RightButton""]",0,3.905,space,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,0.919,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,0.1,-0.297777778,0,0,0,,[],,,,,,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,,191,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,0.254166667,-0.533333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,93.06958474,7.494,space,1.459034792,9.811,0,11,11,11,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,0.469,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.326388889,-0.528888889,1,0,0,LeftButton,"[""LeftButton""]",3,2.504,space,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,1.203,,,,,,,,
