chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.235161565,-0.536792292,1,0,0,RightButton,"[""RightButton""]",,,,,,,10,6.372,space,2.417,11,9.6742,,,,,,0,5,5,5,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.293340774,-0.509464529,1,0,0,LeftButton,"[""LeftButton""]",15,4.9074,space,,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,2.1829,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.295626063,-0.515145379,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,10.0286453,14.2524,space,16.31439823,22.4563,0,7,7,7,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,4.0832,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.3310321,-0.49872101,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,35.0943534,5.4807,space,29.33523157,14.9981,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,1.0117,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.315237032,-0.509240706,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.267203444,-0.511564205,1,0,0,RightButton,"[""RightButton""]",,,,,,,30,3.2699,space,0.5861,19,5.4042,,,,,,0,10,10,10,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.323352466,-0.465584499,1,0,0,RightButton,"[""RightButton""]",,,,,,,50,2.9774,space,0.6362,40,6.9159,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.231196854,-0.527274471,1,0,0,LeftButton,"[""LeftButton""]",,,,4.973639456,9.53,space,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,3.5206,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.276812287,-0.524386085,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989609906,4.6207,space,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,1.2962,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269791667,-0.508356071,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,9.76076668,3.2112,space,9.432226173,6.2023,0,14,14,14,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,1.0502,,,,,,,,
