chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.251762463,-0.474194384,1,0,0,RightButton,"[""RightButton""]",0,5.5777,space,,,,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,0.9869,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.243940662,-0.521031311,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,96.07787323,13.0781,space,4.7582,0.611960378,11.4771,0,6,6,6,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.305106027,-0.52399336,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.282142857,-0.510721248,1,0,0,LeftButton,"[""LeftButton""]",,,,3.007463728,10.7011,space,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,1.0188,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.288736979,-0.534250122,1,0,0,RightButton,"[""RightButton""]",,,,3.016462054,3.1114,space,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,1.4215,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.25563151,-0.522379081,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,2.0476,space,0.4812,0,3.7119,0,10,10,10,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297609747,-0.510211075,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,4.288,space,0,7.0501,,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.7774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,0.309412202,-0.520247015,1,0,0,RightButton,"[""RightButton""]",0,1.6561,space,,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,0.474,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.273958333,-0.524808114,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.54586791,3.5089,space,0.3556,0.568745491,5.4801,0,13,13,13,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.282831101,-0.492172271,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.0197,space,0,4.1834,,,,,,,0,14,14,14,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,0.2698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277622768,-0.512061404,1,0,0,RightButton,"[""RightButton""]",72,1.9234,space,,,,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,0.7019,,
