chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.277777778,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,49,7.066,space,51,8.498,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,1.422,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.245833333,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,60,5.048,space,21,9.865,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,1.355,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318055556,-0.457777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,39.75869809,3.229,space,1.171,39.61840629,6.096,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269444444,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,39.33782267,3.096,space,0.74,39.75869809,4.614,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,0.309722222,-0.48,1,0,0,RightButton,"[""RightButton""]",,,,,,,61,3.35,space,21,4.967,,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,0.705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.306944444,-0.531111111,1,0,0,LeftButton,"[""LeftButton""]",,,,2.013888889,2.968,space,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,1.187,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302777778,-0.524444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,60,4.184,space,21,5.699,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,1.254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272222222,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,70.90347924,3.047,space,4.706,50.14029181,8.913,0,12,12,12,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,0.327777778,-0.491111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,49.57912458,3.847,space,1.086,100,6.815,0,13,13,13,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.244444444,-0.5,1,0,0,LeftButton,"[""LeftButton""]",70,7.037,space,,,,,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,0.82
