chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,incompleteTrials,key_forgiveness.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.245833302,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,3,RandomDot30.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.232291651,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,85.87963605,8.9313,space,29.90320186,14.3107,0,7,7,7,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,3.3444,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,0.31875,-0.514814928,1,0,0,RightButton,"[""RightButton""]",9,3.3265,space,2.3213,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,0.294791698,-0.533333333,1,0,0,RightButton,"[""RightButton""]",50,2.8,space,0.4285,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,0.325,-0.474074131,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,74.20034312,10.7684,space,33.79630272,13.3778,0,10,10,10,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,0.4032,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302083302,-0.483333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,0,both_right.png,2,RandomDot2.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,0.305208397,-0.514814928,1,0,0,RightButton,"[""RightButton""]",,,,,3.635416985,14.4428,space,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,,3.6824,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269791698,-0.498148261,1,0,0,RightButton,"[""RightButton""]",85,3.1792,space,0.4392,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,0.277083397,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,0.26875,-0.518518575,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,90.1936059,5.6692,space,15.48821709,8.8528,0,15,15,15,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,1.1805,,,,,,
