﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.304538799,-0.536458333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,12,4.914995,space,14,5.89098,,,,,,0,3,3,3,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,0.864215,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.262079063,-0.518229167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,80,1.595205,space,49,2.454865,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,0.65169,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.243045388,-0.5234375,1,0,0,LeftButton,"[""LeftButton""]",91,2.43205,space,,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,0.98545,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.251830161,-0.5390625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,75.2894982,3.235255,space,25.74574441,4.03413,0,6,6,6,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,0.447975,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.265007321,-0.541666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,84.16300634,2.179605,space,18.05537069,3.531875,0,7,7,7,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,1.073485,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.272327965,-0.544270833,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,0,both_right.png,1,RandomDot35.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,0.282576867,-0.533854167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,96,2.64915,space,23,4.66656,,,,,,0,9,9,9,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,0.75581,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.31625183,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,95.10699972,2.59841,space,8.294511735,3.41495,0,10,10,10,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,0.421795,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.294289898,-0.5390625,1,0,0,RightButton,"[""RightButton""]",,,,2.353587116,2.66195,space,0.921135,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.27818448,-0.502604167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,12,12,12,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.313323572,-0.518229167,1,0,0,RightButton,"[""RightButton""]",72,2.176785,space,,,,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,1.455385,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.288433382,-0.518229167,1,0,0,LeftButton,"[""LeftButton""]",,,,2.712298682,4.36313,space,1.826405,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,0.25329429,-0.5078125,1,0,0,RightButton,"[""RightButton""]",,,,2.873352855,2.136145,space,1.191195,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.325036603,-0.497395833,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,0.273792094,-0.520833333,1,0,0,RightButton,"[""RightButton""]",92,1.85426,space,,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,0.51589,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,0.27818448,-0.513020833,1,0,0,RightButton,"[""RightButton""]",77,1.77623,space,,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,0.682195,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.222547584,-0.513020833,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,87.8603014,1.71989,space,2.822515048,3.22081,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,0.747985,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.304538799,-0.520833333,1,0,0,RightButton,"[""RightButton""]",,,,2.997803807,1.9595,space,0.948245,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.306002928,-0.515625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,13,3.144495,space,6,4.261585,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,0.353045,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.295754026,-0.481770833,1,0,0,RightButton,"[""RightButton""]",,,,2.683016105,1.258295,space,0.415925,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,-0.263543192,-0.533854167,1,0,0,LeftButton,"[""LeftButton""]",,,,2.931918009,1.6078,space,0.54879,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.248901903,-0.5,1,0,0,LeftButton,"[""LeftButton""]",0,3.229605,space,,,,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,1.69114,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,,0.294289898,-0.510416667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,72.92322937,1.87549,space,13.32283302,2.745465,0,25,25,25,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,0.88997,,,,,,,,,,
