﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
,,,,,,,,3.0325,1.814,space,0.402,0,33,33,31,1,32,image/32.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,1.945,1.31,space,0.282,0,34,34,13,1,14,image/14.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,4.9975,2.106,space,0.325,0,35,35,20,1,21,image/21.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,2.0425,1.741,space,0.336,0,36,36,3,1,4,image/4.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,4.9375,2.065,space,1.551,0,37,37,27,1,28,image/28.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,3.0325,2.495,space,0.817,0,38,38,29,1,30,image/30.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,1.03,1.793,space,0.668,0,39,39,43,1,44,image/44.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,1.99,1.522,space,0.305,0,40,40,18,1,19,image/19.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,1.0225,2.524,space,0.751,0,41,41,51,1,51,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,2.9875,1.53,space,0.361,0,42,42,25,1,26,image/26.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,1.9825,1.607,space,0.287,0,43,43,39,1,40,image/40.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
,,,,,,,,1.0225,2.244,space,0.991,0,44,44,7,1,8,image/8.jpg,0,0,,笙笙,2,2024-05-31_02h30.09.251,face trait task chi,2021.2.3,Win32,60.0240096,,,,,,,
