﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.298958397,-0.501851908,1,0,0,RightButton,"[""RightButton""]",70,3.2737,space,,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,1.0709,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.320833397,-0.501851908,1,0,0,RightButton,"[""RightButton""]",,,,,,,,80,3.0528,space,50,9.1686,,,,,,0,6,6,6,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,3.9169,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.296875,-0.494444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,69.36027257,3.3691,space,49.15825237,5.179,0,7,7,7,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,2.169,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,-0.286458302,-0.496296353,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,0,both_right.png,1,RandomDot8.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.282291698,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,0,RandomDot27.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,0.288541698,-0.492592706,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,89.77272727,3.3503,space,19.6969697,6.5432,0,10,10,10,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,1.1015,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.294791651,-0.485185242,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,89.98317141,3.0546,space,19.80219176,5.2353,0,11,11,11,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,1.21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,-0.294791651,-0.501851908,1,0,0,LeftButton,"[""LeftButton""]",,,,4.947916985,4.8532,space,5.8412,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,0.3,-0.485185242,1,0,0,RightButton,"[""RightButton""]",,,,4.984375,2.7351,space,1.3404,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,0.285416698,-0.466666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,,,,,
