﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,-0.254166651,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",60,1.977,space,,,,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,0.9891,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,-0.277083302,-0.48703715,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,61,2.6642,space,58,4.9911,,,,,,0,5,5,5,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,1.0971,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.297916651,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,49.89478757,2.6556,space,49.89478757,4.8153,0,6,6,6,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,0.8637,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.264583397,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,60.41666667,2.8434,space,58.83838384,6.8439,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,1.5175,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.297916698,-0.518518575,1,0,0,RightButton,"[""RightButton""]",,,,1.979166985,4.3334,space,1.0862,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.319791698,-0.531481595,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,79.98737374,4.112,space,2.651515152,5.3597,0,9,9,9,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,2.8343,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.30625,-0.516666667,1,0,0,RightButton,"[""RightButton""]",70,3.4726,space,,,,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,1.1183,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,-0.314583302,-0.505555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,79.67171717,3.3657,space,30.534515,4.5848,0,11,11,11,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,1.2528,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,-0.301041651,-0.509259372,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,79.77693924,2.7006,space,19.27609588,3.8299,0,12,12,12,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,0.4551,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.294791698,-0.516666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,-0.279166651,-0.5,1,0,0,LeftButton,"[""LeftButton""]",1,2.412,space,,,,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,0.9185,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.330208397,-0.514814928,1,0,0,RightButton,"[""RightButton""]",,,,3.015625,4.988,space,1.2425,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.228125,-0.483333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,1,2.8394,space,49,7.1077,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,2.1749,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.309375,-0.531481595,1,0,0,RightButton,"[""RightButton""]",60,2.1899,space,,,,,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,0.9519,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.311458397,-0.498148261,1,0,0,RightButton,"[""RightButton""]",68,2.3307,space,,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,0.8508,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.263541698,-0.496296353,1,0,0,RightButton,"[""RightButton""]",,,,,,,,60,3.219,space,39,8.0742,,,,,,0,19,19,19,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,0.7862,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.269791651,-0.518518575,1,0,0,LeftButton,"[""LeftButton""]",,,,3.005208492,5.5577,space,0.5666,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.279166651,-0.485185242,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.276041698,-0.501851908,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,1.9044,space,61,3.4292,,,,,,0,22,22,22,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,0.6469,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,-0.278125,-0.492592706,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,70,5.0343,space,61,5.8169,,,,,,0,23,23,23,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,0.7014,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.26875,-0.494444444,1,0,0,RightButton,"[""RightButton""]",,,,3.015625,3.3498,space,1.52,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.316666698,-0.48703715,1,0,0,RightButton,"[""RightButton""]",60,3.5291,space,,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,1.8846,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.257291651,-0.477777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,1,RandomDot21.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.26875,-0.501851908,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,89.56229277,5.7971,space,2.756737218,4.0147,0,27,27,27,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,2.574,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.295833302,-0.53703715,1,0,0,LeftButton,"[""LeftButton""]",,,,1.994791985,3.1368,space,0.685,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.290625,-0.501851908,1,0,0,RightButton,"[""RightButton""]",,,,3,2.7138,space,0.6509,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.2875,-0.501851908,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,30,30,30,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,0.284375,-0.538888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,2,2.5432,space,41,7.7105,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,1.7365,,,,,,,,,,
