﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,incompleteTrials,key_apology.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,0.260257913,-0.53125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,3,RandomDot26.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,-0.253223916,-0.529166667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.233294256,-0.514583333,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.210433763,2.1,space,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,0.543,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.27901524,-0.485416667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,2.538,space,36,3.663,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,0.977,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,-0.361078546,-0.497916667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,51,4.901,space,46,5.711,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,0.364,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,-0.253223916,-0.51875,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.140093787,1.143,space,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,0.225,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,-0.308323564,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,66.57844565,1.841,space,29.15852547,2.57,0,12,12,12,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,0.254,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.320046893,-0.477083333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,51,1.834,space,45,2.723,,,,,,0,13,13,13,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,0.846,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,-0.293083236,-0.477083333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,68.94679503,1.463,space,21.34297252,2.159,0,14,14,14,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,,0.786,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.260257913,-0.525,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,62.07858183,1.485,space,30.22428269,2.776,0,15,15,15,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,,,0.35,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.232121923,-0.460416667,1,0,0,LeftButton,"[""LeftButton""]",2,1.12,space,0.181,,,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,,,,,,,,,,,,,,,,,
