﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_apology.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.296646457,-0.507232711,1,0,0,LeftButton,"[""LeftButton""]",65,3.3643,space,,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,,1.2821,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.373090894,-0.525973453,1,0,0,RightButton,"[""RightButton""]",33,2.1806,space,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,,1.063,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.296646457,-0.522225376,1,0,0,LeftButton,"[""LeftButton""]",,,,2.927231097,3.6603,space,4.7819,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.273776309,-0.501610506,1,0,0,RightButton,"[""RightButton""]",,,,3.744003584,1.8725,space,0.6684,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.230210661,-0.520351427,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,68.42618662,1.9956,space,31.54761257,3.4944,0,9,9,9,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,0.2145,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.29244733,-0.507232711,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,10,10,10,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.356758501,-0.512855094,1,0,0,RightButton,"[""RightButton""]",,,,4.055166258,7.5218,space,0.3211,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.315397093,-0.49786234,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,83.30333954,1.9426,space,33.85252126,2.9445,0,12,12,12,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,0.5013,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.290372728,-0.479121508,1,0,0,RightButton,"[""RightButton""]",,,,3.951445367,3.5818,space,0.2671,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.290502514,-0.544714373,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,,,,,,,,,,
