﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.241666635,-0.498148176,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,66.09848806,5.1128,space,31.48148309,8.0261,0,6,6,6,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,0.8988,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.287499984,-0.522222307,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,76,4.3165,space,10,5.3123,,,,,,0,7,7,7,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,0.7768,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.296875,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",20,7.6162,space,,,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,,0.23,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.258333286,-0.511111083,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,82.61784512,3.331,space,19.06565496,4.4823,0,9,9,9,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,1.2001,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.300000032,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,3.854166667,5.1281,space,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,1.5985,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.292708317,-0.479629658,1,0,0,RightButton,"[""RightButton""]",,,,,,,74,2.733,space,6,5.3755,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,0.3373,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.340624968,-0.525925954,1,0,0,RightButton,"[""RightButton""]",40,3.0379,space,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,,,,0.1582,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.318749984,-0.453703704,1,0,0,RightButton,"[""RightButton""]",,,,4.171875318,2.9078,space,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,0.6186,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.279166698,-0.479629658,1,0,0,RightButton,"[""RightButton""]",,,,,,,88,2.999,space,19,3.6935,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,0.2976,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.290625016,-0.520370342,1,0,0,LeftButton,"[""LeftButton""]",,,,4.213542144,2.3513,space,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,0.5828,,,,,,,,,,,
