chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.222916683,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",0,4.686,space,,,,,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,4.2881,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.201041698,-0.529629601,1,0,0,RightButton,"[""RightButton""]",0,2.0019,space,,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,1.1284,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.260416667,-0.512963048,1,0,0,LeftButton,"[""LeftButton""]",,,,2.437500159,9.4576,space,2.0375,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.255208333,-0.522222307,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.87374701,5.3753,space,0.021043771,8.0837,0,7,7,7,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,2.5196,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.267708302,-0.520370342,1,0,0,LeftButton,"[""LeftButton""]",,,,0.01562496,2.3535,space,1.7869,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.310416698,-0.540740826,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,99.55808723,6.2328,space,0,3.4187,0,9,9,9,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,1.1703,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.305208365,-0.524074131,1,0,0,RightButton,"[""RightButton""]",0,2.9657,space,,,,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,1.4184,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,0.239583333,-0.525925954,1,0,0,RightButton,"[""RightButton""]",,,,,,,,49,15.1062,space,0,19.5358,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,2.3603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273958286,-0.470370399,1,0,0,LeftButton,"[""LeftButton""]",0,1.8953,space,,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,0.7235,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,0.273958365,-0.474074046,1,0,0,RightButton,"[""RightButton""]",,,,2.510416905,5.8775,space,2.017,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,
