trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,chooserow,ParID,welcome.started,welcome.stopped,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_2.started,pre_instru_resp_2.stopped,press_space.started,press_space.stopped,ins1.started,ins1.stopped,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_3.started,pre_instru_resp_3.stopped,press_space1.started,press_space1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,"[74, 86, 101, 111, 115, 128, 199, 175, 65, 166, 51, 194, 19, 119, 188, 191, 120, 0, 103, 140, 125, 84, 77, 30, 48, 71, 170, 95, 75, 143, 58, 64, 36, 148, 157, 168, 155, 97, 158, 135, 189, 147]",,22.043767749972176,None,space,3.8778179159853607,22.043767749972176,None,,,,,,,,,,,,1,2024_Apr_29_1527,Interaction Game,2021.2.3,None,
,,,,,,,,,,,,22.043767749972176,None,25.951233875006437,None,space,2.8203902500099503,25.951233875006437,None,25.951233875006437,None,,,,,,,
