chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.291525608,-0.484392361,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,3,5.3049,space,72,8.1944,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,1.551,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.317952474,-0.490286458,1,0,0,LeftButton,"[""LeftButton""]",0,2.1434,space,,,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,0.6214,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.30906033,-0.524557292,1,0,0,RightButton,"[""RightButton""]",2,1.7356,space,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,0.4342,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.318381076,-0.523871528,1,0,0,LeftButton,"[""LeftButton""]",,,,4.998725043,3.7993,space,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,,0.5968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.337901476,-0.543628472,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,88.76492793,3.3225,space,20.16990653,4.229,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,0.4011,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.311452908,-0.502256944,1,0,0,RightButton,"[""RightButton""]",,,,,,,4,4.3898,space,93,6.0385,,,,,,0,9,9,9,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,0.4531,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.332313368,-0.520763889,1,0,0,RightButton,"[""RightButton""]",,,,3.028645833,1.7558,space,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,,,,0.321
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.296343316,-0.51328125,1,0,0,LeftButton,"[""LeftButton""]",,,,3.966878255,2.5221,space,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,,0.4688
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.284233941,-0.514496528,1,0,0,RightButton,"[""RightButton""]",,,,,,,5,3.5193,space,52,5.32,,,,,,0,12,12,12,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,0.2712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,0.325998264,-0.510868056,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,13,13,13,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,
